irz,beta_s,beta_d,T_d
1.0,-3.126997514778263,1.6221136250301784,18.392722538124705
2.0,-3.0716039609912587,1.5466775790523783,19.909830290675977
3.0,-3.099245249174205,1.505558045687895,24.548515041797533
4.0,-3.1683737546633974,1.511580599513243,22.445454863547685
5.0,-2.9251524518263503,1.5251706607976954,21.637033298136885
6.0,-3.0257465944977633,1.4945966552063752,23.340654862908302
7.0,-2.827146283923014,1.49285905836875,24.03773909717747
8.0,-2.9834750851196175,1.5113892201733938,23.07410322483401
9.0,-3.0531171175706273,1.5218577552451586,23.778939251480047
10.0,-2.909326721417225,1.5126729620061625,22.331541606867503
11.0,-3.117150652812467,1.4874304911376024,23.06841378651461
12.0,-3.0099828148751397,1.5420105064886258,22.0827832632444
13.0,-2.978928256867425,1.5302669912202191,22.478852622489644
14.0,-3.217966245947471,1.5423923066580154,22.050599307771996
15.0,-3.0485185616140082,1.5794688738586977,20.845028650484537
16.0,-3.00781365982447,1.5157999766643298,21.326271401572058
17.0,-3.0099096683800224,1.4969119045465873,24.657666755707375
18.0,-2.9346531457665934,1.5458871287862106,22.15100547687019
19.0,-3.0307879476590593,1.5352971487412284,21.81220367743353
20.0,-2.973129679479993,1.5459289879016467,20.514810186641505
21.0,-2.9195449521259675,1.5582304024754245,21.120979911063525
22.0,-2.9737150112595234,1.5018357918494285,23.072545875296235
23.0,-2.977740198763739,1.496305088604083,23.86022947895905
24.0,-2.8848545060942254,1.6271319411271066,19.195014958787297
25.0,-2.905597283272057,1.544409147154901,22.44608682688906
26.0,-2.9046114896150135,1.5262693000853471,24.008188486719014
27.0,-2.970188385941232,1.613027419136619,19.34466810171505
28.0,-2.954343925188798,1.5338775011414676,21.992861105048835
29.0,-2.939231115945897,1.5809828077205632,19.82235345582751
30.0,-3.042008089645641,1.6365798729675716,17.914030094781623
31.0,-2.8626953625440743,1.5969309196104169,19.14640983398148
32.0,-2.888149129978086,1.5968156808895784,19.340539625184682
33.0,-3.198307959807256,1.5270323525972849,21.77486511137044
34.0,-3.075476877362701,1.5348866477491598,23.332014079855533
35.0,-2.991311220629255,1.6053249847319375,19.485088491435185
36.0,-3.03093993203278,1.5887931647694562,19.318243941478485
37.0,-3.0516339914583046,1.5305815490213548,22.295453353441182
38.0,-2.8769082031081705,1.5553083759711264,21.290567854643005
39.0,-3.0718794673658563,1.5711874046440841,20.077295639108073
40.0,-2.8671772204206123,1.5481629586922705,22.09599182454018
41.0,-3.039417579832723,1.5723975317971863,20.46742494272306
42.0,-2.9366389902926344,1.6539220425187076,19.26664951278918
43.0,-2.932990340048664,1.5729209284503434,20.267469865506637
44.0,-2.928730242716566,1.5023601994907931,24.73200943092353
45.0,-2.997017228106431,1.580913546921411,20.957093026472727
46.0,-3.041154673747416,1.470369035142609,24.58178719933706
47.0,-3.061948034292348,1.5541532045747024,21.893657561737335
48.0,-3.0299936389938873,1.4998753671901972,23.92092934645015
49.0,-2.8806178042862443,1.5407436466847568,21.724687898973173
50.0,-2.8950355550643767,1.5294974951110003,22.310870621662453
51.0,-3.040160042873181,1.5388665051938353,22.125672502709527
52.0,-2.9922916998452576,1.5592325995389846,19.915076936110033
53.0,-2.9402510095063166,1.5381692790681094,22.20678594681586
54.0,-3.100040867309934,1.5310846198286452,21.821186298506575
55.0,-3.085422198348782,1.526376444346143,23.35416488119769
56.0,-2.87899716158638,1.5662927104266393,20.263187012407066
57.0,-2.9986646229367384,1.545755993015216,21.94343930490666
58.0,-2.861632422318505,1.4984410613168713,24.382356517864366
59.0,-2.931663798585437,1.5096140056881142,22.243280767358915
60.0,-3.0327812657028828,1.6096741864926394,19.9301813278618
61.0,-3.0349636305949286,1.5905337572924485,19.518267092791877
62.0,-3.0226059938124363,1.589778267279062,20.17513464808006
63.0,-2.9562823117186423,1.569733969439339,20.470591648555818
64.0,-2.909637846076928,1.5492331164730804,21.599292835079808
65.0,-2.930329981043486,1.5594597944657054,20.315144448282542
66.0,-3.004515428107887,1.5745861814993738,21.82628212906491
67.0,-3.003404409786626,1.5412313022502162,23.07275186086332
68.0,-3.152100408397262,1.4646058456811,23.971357691877692
69.0,-2.845459898176126,1.559359257890009,20.373301361710148
70.0,-2.9736042108274683,1.5577811062127473,21.663459164568906
71.0,-2.9639779560790043,1.5409935717294616,21.7713665483806
72.0,-2.9777232449078497,1.5946518727295302,20.730503132095194
73.0,-2.949327707761951,1.576692741689347,20.453866574339248
74.0,-3.0237384234185556,1.5679494249390988,21.498048367042834
75.0,-2.876533849519739,1.5141510452136722,22.710343795063956
76.0,-2.986536978233876,1.532483966785485,22.259513092378956
77.0,-2.869042881692784,1.513923569672356,23.17734723037987
78.0,-2.936447480595837,1.5759862496594856,20.218714106744628
79.0,-2.9481532112743567,1.5539957175774197,21.117137373912875
80.0,-3.094056591020185,1.5081386330992814,23.620863851649744
81.0,-2.9432986379589003,1.5173380777648813,22.74340892460643
82.0,-2.8432779046787724,1.5264111604350934,22.346491418859898
83.0,-2.9454346640298703,1.5322705412642788,21.162321421535438
84.0,-2.8981140664732643,1.570110549813141,21.087357424039297
85.0,-3.0509958813870477,1.4562696802016695,24.577430013643625
86.0,-3.032634358235666,1.497290417763312,22.687267052951107
87.0,-3.0618002409485525,1.5856779787031183,19.449337837381194
88.0,-3.0386778012020295,1.5234863455939438,22.19300187617235
89.0,-2.9056266269162885,1.4951090461821566,21.91242051128424
90.0,-3.069427304256515,1.5638856244244963,20.628537393179137
91.0,-3.0548850805756915,1.5444381932575002,22.40523911421718
92.0,-2.9282206987709403,1.551767645423805,20.038743636050974
93.0,-2.9522254692248096,1.558922810682629,20.672264462954168
94.0,-3.1293761896013828,1.546932825620332,21.351019554123333
95.0,-2.907774743966302,1.5215607912994251,22.578678070096746
96.0,-2.8355223258814037,1.5371564865116583,22.49314675277171
97.0,-2.9885778238793677,1.5763756240458937,20.64775761417022
98.0,-3.0031989126260332,1.5030508966293867,23.511641672643776
99.0,-3.0265419284806043,1.5565945753291992,21.11779735772743
100.0,-3.0021572821123232,1.5422752355998535,21.17957152465488
101.0,-3.1215986064446004,1.5563112670926107,20.63877620315077
102.0,-3.0196929193903714,1.527967690908095,21.9788586031781
103.0,-2.8800676148730773,1.4911071939730483,22.23582557547526
104.0,-3.0955725105456686,1.5329705592444558,21.6614024522433
105.0,-2.9638908659685725,1.5344298378804198,22.95491532964721
106.0,-3.101244846045576,1.6144240365980025,19.087953289315994
107.0,-2.7885920662488664,1.5518407993681544,20.087617688479458
108.0,-3.117673932362359,1.5437111084880502,20.882978979358356
109.0,-3.002446141238928,1.470139986180601,23.85952877122856
110.0,-2.8530993581493913,1.5309323000771795,21.69734473869643
111.0,-2.9502790445773894,1.4523650456358477,26.81764434402267
112.0,-3.021292631498964,1.5957433427896217,19.3869004163665
113.0,-2.940230876774473,1.5089242754271868,22.35887936595506
114.0,-2.7981136708248835,1.4702397996985141,24.93165800392267
115.0,-2.973788850453625,1.5652513858521844,20.12428113380679
